year,month,day,hour,minute,count,date
2022,3,5,2,7,20,2022-03-05 02:07:00
2022,3,5,2,8,20,2022-03-05 02:08:00
2022,3,5,2,9,20,2022-03-05 02:09:00
2022,3,5,2,10,19,2022-03-05 02:10:00
2022,3,5,2,11,19,2022-03-05 02:11:00
2022,3,5,2,12,19,2022-03-05 02:12:00
2022,3,5,2,13,19,2022-03-05 02:13:00
2022,3,5,2,14,19,2022-03-05 02:14:00
2022,3,5,2,15,19,2022-03-05 02:15:00
2022,3,5,2,16,19,2022-03-05 02:16:00
2022,3,5,2,17,19,2022-03-05 02:17:00
2022,3,5,2,18,19,2022-03-05 02:18:00
2022,3,5,2,19,19,2022-03-05 02:19:00
2022,3,5,2,20,19,2022-03-05 02:20:00
2022,3,5,2,21,19,2022-03-05 02:21:00
2022,3,5,2,22,19,2022-03-05 02:22:00
2022,3,5,2,23,19,2022-03-05 02:23:00
2022,3,5,2,24,19,2022-03-05 02:24:00
2022,3,5,2,25,19,2022-03-05 02:25:00
2022,3,5,2,26,19,2022-03-05 02:26:00
2022,3,5,2,27,19,2022-03-05 02:27:00
2022,3,5,2,28,19,2022-03-05 02:28:00
2022,3,5,2,29,19,2022-03-05 02:29:00
2022,3,5,2,30,19,2022-03-05 02:30:00
2022,3,5,2,31,19,2022-03-05 02:31:00
2022,3,5,2,32,19,2022-03-05 02:32:00
2022,3,5,2,33,19,2022-03-05 02:33:00
2022,3,5,2,34,19,2022-03-05 02:34:00
2022,3,5,2,35,19,2022-03-05 02:35:00
2022,3,5,2,36,19,2022-03-05 02:36:00
2022,3,5,2,37,20,2022-03-05 02:37:00
2022,3,5,2,38,20,2022-03-05 02:38:00
2022,3,5,2,39,20,2022-03-05 02:39:00
2022,3,5,2,40,20,2022-03-05 02:40:00
2022,3,5,2,41,20,2022-03-05 02:41:00
2022,3,5,2,42,20,2022-03-05 02:42:00
2022,3,5,2,43,20,2022-03-05 02:43:00
2022,3,5,2,44,20,2022-03-05 02:44:00
2022,3,5,2,45,20,2022-03-05 02:45:00
2022,3,5,2,46,20,2022-03-05 02:46:00
2022,3,5,2,47,20,2022-03-05 02:47:00
2022,3,5,2,48,20,2022-03-05 02:48:00
2022,3,5,2,49,20,2022-03-05 02:49:00
2022,3,5,2,50,19,2022-03-05 02:50:00
2022,3,5,2,51,19,2022-03-05 02:51:00
2022,3,5,2,52,19,2022-03-05 02:52:00
2022,3,5,2,53,19,2022-03-05 02:53:00
2022,3,5,2,54,19,2022-03-05 02:54:00
2022,3,5,2,55,19,2022-03-05 02:55:00
2022,3,5,2,56,19,2022-03-05 02:56:00
2022,3,5,2,57,19,2022-03-05 02:57:00
2022,3,5,2,58,19,2022-03-05 02:58:00
2022,3,5,2,59,19,2022-03-05 02:59:00
2022,3,5,3,0,19,2022-03-05 03:00:00
2022,3,5,3,1,19,2022-03-05 03:01:00
2022,3,5,3,2,19,2022-03-05 03:02:00
2022,3,5,3,3,19,2022-03-05 03:03:00
2022,3,5,3,4,19,2022-03-05 03:04:00
2022,3,5,3,5,19,2022-03-05 03:05:00
2022,3,5,3,6,19,2022-03-05 03:06:00
2022,3,5,3,7,19,2022-03-05 03:07:00
2022,3,5,3,8,19,2022-03-05 03:08:00
2022,3,5,3,9,19,2022-03-05 03:09:00
2022,3,5,3,10,19,2022-03-05 03:10:00
2022,3,5,3,11,20,2022-03-05 03:11:00
2022,3,5,3,12,20,2022-03-05 03:12:00
2022,3,5,3,13,20,2022-03-05 03:13:00
2022,3,5,3,14,20,2022-03-05 03:14:00
2022,3,5,3,15,20,2022-03-05 03:15:00
2022,3,5,3,16,20,2022-03-05 03:16:00
2022,3,5,3,17,20,2022-03-05 03:17:00
2022,3,5,3,18,20,2022-03-05 03:18:00
2022,3,5,3,19,20,2022-03-05 03:19:00
2022,3,5,3,20,19,2022-03-05 03:20:00
2022,3,5,3,21,19,2022-03-05 03:21:00
2022,3,5,3,22,19,2022-03-05 03:22:00
2022,3,5,3,23,19,2022-03-05 03:23:00
2022,3,5,3,24,19,2022-03-05 03:24:00
2022,3,5,3,25,19,2022-03-05 03:25:00
2022,3,5,3,26,19,2022-03-05 03:26:00
2022,3,5,3,27,19,2022-03-05 03:27:00
2022,3,5,3,28,19,2022-03-05 03:28:00
2022,3,5,3,29,19,2022-03-05 03:29:00
2022,3,5,3,30,19,2022-03-05 03:30:00
2022,3,5,3,31,19,2022-03-05 03:31:00
2022,3,5,3,32,19,2022-03-05 03:32:00
2022,3,5,3,33,19,2022-03-05 03:33:00
2022,3,5,3,34,19,2022-03-05 03:34:00
2022,3,5,3,35,19,2022-03-05 03:35:00
2022,3,5,3,36,19,2022-03-05 03:36:00
2022,3,5,3,37,19,2022-03-05 03:37:00
2022,3,5,3,38,19,2022-03-05 03:38:00
2022,3,5,3,39,19,2022-03-05 03:39:00
2022,3,5,3,40,19,2022-03-05 03:40:00
2022,3,5,3,41,19,2022-03-05 03:41:00
2022,3,5,3,42,19,2022-03-05 03:42:00
2022,3,5,3,43,19,2022-03-05 03:43:00
2022,3,5,3,44,19,2022-03-05 03:44:00
2022,3,5,3,45,20,2022-03-05 03:45:00
2022,3,5,3,46,20,2022-03-05 03:46:00
2022,3,5,3,47,20,2022-03-05 03:47:00
2022,3,5,3,48,20,2022-03-05 03:48:00
2022,3,5,3,49,20,2022-03-05 03:49:00
2022,3,5,3,50,20,2022-03-05 03:50:00
2022,3,5,3,51,20,2022-03-05 03:51:00
2022,3,5,3,52,20,2022-03-05 03:52:00
2022,3,5,3,53,20,2022-03-05 03:53:00
2022,3,5,3,54,20,2022-03-05 03:54:00
2022,3,5,3,55,20,2022-03-05 03:55:00
2022,3,5,3,56,20,2022-03-05 03:56:00
2022,3,5,3,57,20,2022-03-05 03:57:00
2022,3,5,3,58,20,2022-03-05 03:58:00
2022,3,5,3,59,20,2022-03-05 03:59:00
2022,3,5,4,0,20,2022-03-05 04:00:00
2022,3,5,4,1,20,2022-03-05 04:01:00
2022,3,5,4,2,20,2022-03-05 04:02:00
2022,3,5,4,3,20,2022-03-05 04:03:00
2022,3,5,4,4,20,2022-03-05 04:04:00
2022,3,5,4,5,20,2022-03-05 04:05:00
2022,3,5,4,6,20,2022-03-05 04:06:00
2022,3,5,4,7,20,2022-03-05 04:07:00
2022,3,5,4,8,20,2022-03-05 04:08:00
2022,3,5,4,9,20,2022-03-05 04:09:00
2022,3,5,4,10,19,2022-03-05 04:10:00
2022,3,5,4,11,19,2022-03-05 04:11:00
2022,3,5,4,12,19,2022-03-05 04:12:00
2022,3,5,4,13,19,2022-03-05 04:13:00
2022,3,5,4,14,19,2022-03-05 04:14:00
2022,3,5,4,15,19,2022-03-05 04:15:00
2022,3,5,4,16,19,2022-03-05 04:16:00
2022,3,5,4,17,19,2022-03-05 04:17:00
2022,3,5,4,18,19,2022-03-05 04:18:00
2022,3,5,4,19,20,2022-03-05 04:19:00
2022,3,5,4,20,20,2022-03-05 04:20:00
2022,3,5,4,21,20,2022-03-05 04:21:00
2022,3,5,4,22,20,2022-03-05 04:22:00
2022,3,5,4,23,20,2022-03-05 04:23:00
2022,3,5,4,24,20,2022-03-05 04:24:00
2022,3,5,4,25,20,2022-03-05 04:25:00
2022,3,5,4,26,20,2022-03-05 04:26:00
2022,3,5,4,27,20,2022-03-05 04:27:00
2022,3,5,4,28,20,2022-03-05 04:28:00
2022,3,5,4,29,20,2022-03-05 04:29:00
2022,3,5,4,30,19,2022-03-05 04:30:00
2022,3,5,4,31,19,2022-03-05 04:31:00
2022,3,5,4,32,19,2022-03-05 04:32:00
2022,3,5,4,33,19,2022-03-05 04:33:00
2022,3,5,4,34,19,2022-03-05 04:34:00
2022,3,5,4,35,19,2022-03-05 04:35:00
2022,3,5,4,36,19,2022-03-05 04:36:00
2022,3,5,4,37,19,2022-03-05 04:37:00
2022,3,5,4,38,19,2022-03-05 04:38:00
2022,3,5,4,39,19,2022-03-05 04:39:00
2022,3,5,4,40,19,2022-03-05 04:40:00
2022,3,5,4,41,19,2022-03-05 04:41:00
2022,3,5,4,42,19,2022-03-05 04:42:00
2022,3,5,4,43,19,2022-03-05 04:43:00
2022,3,5,4,44,19,2022-03-05 04:44:00
2022,3,5,4,45,19,2022-03-05 04:45:00
2022,3,5,4,46,19,2022-03-05 04:46:00
2022,3,5,4,47,19,2022-03-05 04:47:00
2022,3,5,4,48,19,2022-03-05 04:48:00
2022,3,5,4,49,19,2022-03-05 04:49:00
2022,3,5,4,50,19,2022-03-05 04:50:00
2022,3,5,4,51,19,2022-03-05 04:51:00
2022,3,5,4,52,19,2022-03-05 04:52:00
2022,3,5,4,53,20,2022-03-05 04:53:00
2022,3,5,4,54,20,2022-03-05 04:54:00
2022,3,5,4,55,20,2022-03-05 04:55:00
2022,3,5,4,56,20,2022-03-05 04:56:00
2022,3,5,4,57,20,2022-03-05 04:57:00
2022,3,5,4,58,20,2022-03-05 04:58:00
2022,3,5,4,59,20,2022-03-05 04:59:00
2022,3,5,5,0,19,2022-03-05 05:00:00
2022,3,5,5,1,19,2022-03-05 05:01:00
2022,3,5,5,2,19,2022-03-05 05:02:00
2022,3,5,5,3,19,2022-03-05 05:03:00
2022,3,5,5,4,20,2022-03-05 05:04:00
2022,3,5,5,5,20,2022-03-05 05:05:00
